2026-02-23T14:08:15.4431960+00:00 | eventType=config_updated | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4437670+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4443220+00:00 | eventType=game_initialized | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4448690+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4454790+00:00 | eventType=task_run_started | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4460160+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4466630+00:00 | eventType=pulse_targets_config | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4471730+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4477550+00:00 | eventType=game_started | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4483420+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4496480+00:00 | eventType=pulse_target_spawned | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4501400+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4520480+00:00 | eventType=game_start | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4526430+00:00 | eventType=session_start | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=START_GAME
2026-02-23T14:08:15.4550150+00:00 | eventType=task_stimulus_presented | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:15.4554830+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:17.8733820+00:00 | eventType=task_action_outcome | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:17.8740890+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:17.8746110+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:17.8751360+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1646150+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1655270+00:00 | eventType=task_action_outcome | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1660580+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1665750+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1671070+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1687510+00:00 | eventType=pulse_target_hit | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1693740+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1718360+00:00 | eventType=pulse_target_spawned | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1723820+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
