2026-02-23T14:08:04.2758840+00:00 | eventType=session_attach | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | reason=INITIAL_CONNECT
2026-02-23T14:08:20.3050730+00:00 | eventType=game_end | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | reason=Completed
2026-02-23T14:08:20.3057640+00:00 | eventType=game_result | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | reason=
2026-02-23T14:08:20.3064390+00:00 | eventType=session_stop | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:08:30.1247000+00:00 | eventType=game_end | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | reason=Completed
2026-02-23T14:08:30.1253690+00:00 | eventType=game_result | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | reason=
2026-02-23T14:08:30.1258700+00:00 | eventType=session_stop | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:08:35.7912460+00:00 | eventType=game_end | sessionId=fb615a43-9128-4457-957b-e34fdec56b3f | reason=Completed
2026-02-23T14:08:35.7920130+00:00 | eventType=game_result | sessionId=fb615a43-9128-4457-957b-e34fdec56b3f | reason=
2026-02-23T14:08:35.7926730+00:00 | eventType=session_stop | sessionId=fb615a43-9128-4457-957b-e34fdec56b3f | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:08:58.5411100+00:00 | eventType=game_end | sessionId=4470caae-0801-4870-8435-339e4c963a76 | reason=Completed
2026-02-23T14:08:58.5418510+00:00 | eventType=game_result | sessionId=4470caae-0801-4870-8435-339e4c963a76 | reason=
2026-02-23T14:08:58.5424480+00:00 | eventType=session_stop | sessionId=4470caae-0801-4870-8435-339e4c963a76 | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:09:10.4298180+00:00 | eventType=game_end | sessionId=f2c4be8a-0a49-4e24-afe5-3e281a02ef65 | reason=Completed
2026-02-23T14:09:10.4305890+00:00 | eventType=game_result | sessionId=f2c4be8a-0a49-4e24-afe5-3e281a02ef65 | reason=
2026-02-23T14:09:10.4315960+00:00 | eventType=session_stop | sessionId=f2c4be8a-0a49-4e24-afe5-3e281a02ef65 | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:09:16.1107610+00:00 | eventType=game_end | sessionId=0226f575-57d3-44ff-958c-3491a089b592 | reason=Completed
2026-02-23T14:09:16.1117130+00:00 | eventType=game_result | sessionId=0226f575-57d3-44ff-958c-3491a089b592 | reason=
2026-02-23T14:09:16.1124620+00:00 | eventType=session_stop | sessionId=0226f575-57d3-44ff-958c-3491a089b592 | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:09:22.3775390+00:00 | eventType=game_end | sessionId=710fa8e8-9f18-488a-ac20-7aa239aecf32 | reason=Completed
2026-02-23T14:09:22.3784900+00:00 | eventType=game_result | sessionId=710fa8e8-9f18-488a-ac20-7aa239aecf32 | reason=
2026-02-23T14:09:22.3792580+00:00 | eventType=session_stop | sessionId=710fa8e8-9f18-488a-ac20-7aa239aecf32 | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:09:44.2360050+00:00 | eventType=session_stop | sessionId=a649a777-4cc2-48ab-865e-014a5e6e0387 | reason=END_SESSION
2026-02-23T14:43:52.0522610+00:00 | eventType=session_attach | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771857831010 | reason=INITIAL_CONNECT
2026-02-23T15:22:15.3966260+00:00 | eventType=session_attach | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771860134060 | reason=INITIAL_CONNECT
2026-02-23T15:23:38.0841440+00:00 | eventType=session_attach | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771860134060 | reason=AUTO_RECONNECT
2026-02-23T15:23:48.7981500+00:00 | eventType=session_stop | sessionId=4cc8eb0f-a2a8-4df4-8324-7a3e616fbe9a | reason=END_SESSION
